category	subcategory	value	description
ANTIGEN_PRESENTATION	positive	CD1a+	CD1a
ANTIGEN_PRESENTATION	positive	CD1b+	CD1b
ANTIGEN_PRESENTATION	positive	CD1c+	CD1c
ANTIGEN_PRESENTATION	positive	CD1d+	CD1d
ANTIGEN_PRESENTATION	positive	CD1e+	CD1e
ANTIGEN_PRESENTATION	positive	CD2+	CD2
ANTIGEN_PRESENTATION	positive	CD3+	CD3
ANTIGEN_PRESENTATION	positive	CD3d+	CD3d
ANTIGEN_PRESENTATION	positive	CD3e+	CD3e
ANTIGEN_PRESENTATION	positive	CD3g+	CD3g
ANTIGEN_PRESENTATION	positive	CD4+	CD4
ANTIGEN_PRESENTATION	positive	CD5+	CD5
ANTIGEN_PRESENTATION	positive	CD6+	CD6
ANTIGEN_PRESENTATION	positive	CD7+	CD7
ANTIGEN_PRESENTATION	positive	CD8a+	CD8a
ANTIGEN_PRESENTATION	positive	CD8b+	CD8b
ANTIGEN_PRESENTATION	positive	CD9+	CD9
ANTIGEN_PRESENTATION	positive	CD10+	CD10
ANTIGEN_PRESENTATION	positive	CD11a+	CD11a
ANTIGEN_PRESENTATION	positive	CD11b+	CD11b
ANTIGEN_PRESENTATION	positive	CD11c+	CD11c
ANTIGEN_PRESENTATION	positive	CD11d+	CD11d
ANTIGEN_PRESENTATION	positive	CD13+	CD13
ANTIGEN_PRESENTATION	positive	CD14+	CD14
ANTIGEN_PRESENTATION	positive	CD15+	CD15
ANTIGEN_PRESENTATION	positive	CD16a+	CD16a
ANTIGEN_PRESENTATION	positive	CD16b+	CD16b
ANTIGEN_PRESENTATION	positive	CD17+	CD17
ANTIGEN_PRESENTATION	positive	CD18+	CD18
ANTIGEN_PRESENTATION	positive	CD19+	CD19
ANTIGEN_PRESENTATION	positive	CD20+	CD20
ANTIGEN_PRESENTATION	positive	CD21+	CD21
ANTIGEN_PRESENTATION	positive	CD22+	CD22
ANTIGEN_PRESENTATION	positive	CD23+	CD23
ANTIGEN_PRESENTATION	positive	CD24+	CD24
ANTIGEN_PRESENTATION	positive	CD25+	CD25
ANTIGEN_PRESENTATION	positive	CD26+	CD26
ANTIGEN_PRESENTATION	positive	CD27+	CD27
ANTIGEN_PRESENTATION	positive	CD28+	CD28
ANTIGEN_PRESENTATION	positive	CD29+	CD29
ANTIGEN_PRESENTATION	positive	CD30+	CD30
ANTIGEN_PRESENTATION	positive	CD31+	CD31
ANTIGEN_PRESENTATION	positive	CD33+	CD33
ANTIGEN_PRESENTATION	positive	CD34+	CD34
ANTIGEN_PRESENTATION	positive	CD35+	CD35
ANTIGEN_PRESENTATION	positive	CD36+	CD36
ANTIGEN_PRESENTATION	positive	CD37+	CD37
ANTIGEN_PRESENTATION	positive	CD38+	CD38
ANTIGEN_PRESENTATION	positive	CD39+	CD39
ANTIGEN_PRESENTATION	positive	CD40+	CD40
ANTIGEN_PRESENTATION	positive	CD41+	CD41
ANTIGEN_PRESENTATION	positive	CD42a+	CD42a
ANTIGEN_PRESENTATION	positive	CD42b+	CD42b
ANTIGEN_PRESENTATION	positive	CD42c+	CD42c
ANTIGEN_PRESENTATION	positive	CD42d+	CD42d
ANTIGEN_PRESENTATION	positive	CD43+	CD43
ANTIGEN_PRESENTATION	positive	CD44+	CD44
ANTIGEN_PRESENTATION	positive	CD45+	CD45
ANTIGEN_PRESENTATION	positive	CD45RA+	CD45RA
ANTIGEN_PRESENTATION	positive	CD45RB+	CD45RB
